# CVS $Revision: 21663 $ $Author: amaitland $ -- Thu Jul 24 12:02:36 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Legendary Classes: Covenant Magic	SOURCESHORT:LCCM	SOURCEWEB:http://www.rpgnow.com/product/113081/Legendary-Classes-Covenant-Magic	SOURCEDATE:2013-04
# Original Entry by: Stefan Radermacher

###Block: Main Spell List
# Spell Name	Classes of caster			School		Components	Casting Time			Range		Target Area or Effect																Duration								Save Info		Spell Resistance	Source Page		Description
Expel Spirit	CLASSES:Medium=4|Witch=5	SCHOOL:Abjuration	COMPS:V,S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and a touched spirit from another plane, or you and an enchantment on a touched creature or object	DURATION:(CASTERLEVEL) rounds or until discharged	SAVEINFO:See text	SPELLRES:See text	SOURCEPAGE:p.23	DESC:Pale silver light surrounds you granting a +4 deflection bonus to AC against attacks by fey, outsoiders, and undead and you can choose to drive extraplaner fey, outsiders, or undead back to their home plane on making a successful melee touch attack.|!PRERULE:1,DisplayFullSpell

###Block: Full Spell Descriptions				#
# Spell Name	Description
Expel Spirit.MOD	DESC:Pale silver light surrounds you. This energy has three effects. First, you gain a +4 deflection bonus to AC against attacks by fey, outsiders, and undead.  Second, on making a successful melee touch attack against an extraplanar fey, outsider, or undead, you can choose to drive that creature back to its home plane. The creature can negate the effects with a successful Will save [spell resistance applies]. This usedischarges and ends the spell. Third, with a touch you can automatically dispel any one enchantment spell cast by a fey, outsider, or undead. Spells that can’t be dispelled by dispel magic also can’t be dispelled by expel spirits. Saving throws and spell resistance do not apply to this effect. This use discharges and ends the spell.|PRERULE:1,DisplayFullSpell

###Block: .Mod Spells
# Spell Name					Classes of caster
Battle Trance.MOD					CLASSES:Medium=3
Bear's Endurance.MOD				CLASSES:Medium=3
Bestow Curse.MOD					CLASSES:Medium=3
Blink.MOD						CLASSES:Medium=3
Bull's Strength.MOD				CLASSES:Medium=3
Cackling Skull.MOD				CLASSES:Medium=3
Cast Out.MOD					CLASSES:Medium=3
Cat's Grace.MOD					CLASSES:Medium=3
Chain of Perdition.MOD				CLASSES:Medium=3
Charm Monster.MOD					CLASSES:Medium=3
Confusion.MOD					CLASSES:Medium=3
Control Summoned Creature.MOD			CLASSES:Medium=3
Crushing Despair.MOD				CLASSES:Medium=3
Deeper Darkness.MOD				CLASSES:Medium=3
Dimensional Anchor.MOD				CLASSES:Medium=3
Dispel Magic.MOD					CLASSES:Medium=3
Eagle's Splendor.MOD				CLASSES:Medium=3
Fear.MOD						CLASSES:Medium=3
Fester.MOD						CLASSES:Medium=3
Fox's Cunning.MOD					CLASSES:Medium=3
Fly.MOD						CLASSES:Medium=3
Geas (Lesser).MOD					CLASSES:Medium=3
Ghostbane Dirge (Mass).MOD			CLASSES:Medium=3
Good Hope.MOD					CLASSES:Medium=3
Halt Undead.MOD					CLASSES:Medium=3
Haunting Choir.MOD				CLASSES:Medium=3
Healing Thief.MOD					CLASSES:Medium=3
Helping Hand.MOD					CLASSES:Medium=3
Heroism.MOD						CLASSES:Medium=3
Hostile Levitation.MOD				CLASSES:Medium=3
Invisibility Purge.MOD				CLASSES:Medium=3
Invisibility Sphere.MOD				CLASSES:Medium=3
Locate Weakness.MOD				CLASSES:Medium=3
Magic Circle against Chaos.MOD		CLASSES:Medium=3
Magic Circle against Evil.MOD			CLASSES:Medium=3
Magic Circle against Good.MOD			CLASSES:Medium=3
Magic Circle against Law.MOD			CLASSES:Medium=3
Magic Weapon (Greater).MOD			CLASSES:Medium=3
Malicious Spite.MOD				CLASSES:Medium=3
Marionette Possession.MOD			CLASSES:Medium=3
Nereid's Grace.MOD				CLASSES:Medium=3
Overwhelming Grief.MOD				CLASSES:Medium=3
Owl's Wisdom.MOD					CLASSES:Medium=3
Phantom Chariot.MOD				CLASSES:Medium=3
Phantom Steed (Communal).MOD			CLASSES:Medium=3
Prayer.MOD						CLASSES:Medium=3
Raging Rubble.MOD					CLASSES:Medium=3
Ray of Exhaustion.MOD				CLASSES:Medium=3
Remove Curse.MOD					CLASSES:Medium=3
Rest Eternal.MOD					CLASSES:Medium=3
Screech.MOD						CLASSES:Medium=3
Seek Thoughts.MOD					CLASSES:Medium=3
Speak with Dead.MOD				CLASSES:Medium=3
Spider Climb (Communal).MOD			CLASSES:Medium=3
Spiritual Ally.MOD				CLASSES:Medium=3
Telekinetic Charge.MOD				CLASSES:Medium=3
Terrible Remorse.MOD				CLASSES:Medium=3
Tongues (Communal).MOD				CLASSES:Medium=3
Twilight Knife.MOD				CLASSES:Medium=3
Vision of Hell.MOD				CLASSES:Medium=3
Wandering Star Motes.MOD			CLASSES:Medium=3
Water Walk (Communal).MOD			CLASSES:Medium=3
Witness.MOD						CLASSES:Medium=3

Air Walk (Communal).MOD				CLASSES:Medium=4
Battlemind Link.MOD				CLASSES:Medium=4
Break Enchantment.MOD				CLASSES:Medium=4
Chaos Hammer.MOD					CLASSES:Medium=4
Command Plants.MOD				CLASSES:Medium=4
Coward's Lament.MOD				CLASSES:Medium=4
Curse of Disgust.MOD				CLASSES:Medium=4
Daze (Mass).MOD					CLASSES:Medium=4
Death Ward.MOD					CLASSES:Medium=4
Debilitating Portent.MOD			CLASSES:Medium=4
Detect Scrying.MOD				CLASSES:Medium=4
Dimension Door.MOD				CLASSES:Medium=4
Discern Lies.MOD					CLASSES:Medium=4
Dismissal.MOD					CLASSES:Medium=4
Dispel Chaos.MOD					CLASSES:Medium=4
Dispel Evil.MOD					CLASSES:Medium=4
Dispel Good.MOD					CLASSES:Medium=4
Dispel Law.MOD					CLASSES:Medium=4
Dominate Person.MOD				CLASSES:Medium=4
Earth Glide.MOD					CLASSES:Medium=4
Envious Urge.MOD					CLASSES:Medium=4
Freedom of Movement.MOD				CLASSES:Medium=4
Globe of Invulnerability (Lesser).MOD	CLASSES:Medium=4
Hallucinatory Terrain.MOD			CLASSES:Medium=4
Hellmouth Lash.MOD				CLASSES:Medium=4
Hold Monster.MOD					CLASSES:Medium=4
Holy Smite.MOD					CLASSES:Medium=4
Interrogation (Greater).MOD			CLASSES:Medium=4
Locate Creature.MOD				CLASSES:Medium=4
Mage's Faithful Hound.MOD			CLASSES:Medium=4
Magic Jar.MOD					CLASSES:Medium=4
Modify Memory.MOD					CLASSES:Medium=4
Nondetection.MOD					CLASSES:Medium=4
Order's Wrath.MOD					CLASSES:Medium=4
Overland Flight.MOD				CLASSES:Medium=4
Paragon Surge.MOD					CLASSES:Medium=4
Phantasmal Killer.MOD				CLASSES:Medium=4
Possess Object.MOD				CLASSES:Medium=4
Primal Scream.MOD					CLASSES:Medium=4
Repel Vermin.MOD					CLASSES:Medium=4
Resist Energy.MOD					CLASSES:Medium=4
Sending.MOD						CLASSES:Medium=4
Shadow Step.MOD					CLASSES:Medium=4
Shared Wrath.MOD					CLASSES:Medium=4
Sleepwalk.MOD					CLASSES:Medium=4
Smug Narcissism.MOD				CLASSES:Medium=4
Summoner Conduit.MOD				CLASSES:Medium=4
Telekinesis.MOD					CLASSES:Medium=4
Telepathic Bond.MOD				CLASSES:Medium=4
Threefold Aspect.MOD				CLASSES:Medium=4
Truespeak.MOD					CLASSES:Medium=4
Unholy Blight.MOD					CLASSES:Medium=4

Analyze Dweomer.MOD				CLASSES:Medium=5
Animate Objects.MOD				CLASSES:Medium=5
Banishment.MOD					CLASSES:Medium=5
Blessing of Fervor.MOD				CLASSES:Medium=5
Circle of Death.MOD				CLASSES:Medium=5
Command (Greater).MOD				CLASSES:Medium=5
Control Plants.MOD				CLASSES:Medium=5
Control Undead.MOD				CLASSES:Medium=5
Curse (Major).MOD					CLASSES:Medium=5
Damnation Stride.MOD				CLASSES:Medium=5
Dispel Magic (Greater).MOD			CLASSES:Medium=5
Disrupting Weapon.MOD				CLASSES:Medium=5
Divine Power.MOD					CLASSES:Medium=5
Dream.MOD						CLASSES:Medium=5
Ethereal Jaunt.MOD				CLASSES:Medium=5
Feeblemind.MOD					CLASSES:Medium=5
False Vision.MOD					CLASSES:Medium=5
Forbid Action (Greater).MOD			CLASSES:Medium=5
Invisibility (Greater).MOD			CLASSES:Medium=5
Joyful Rapture.MOD				CLASSES:Medium=5
Mind Fog.MOD					CLASSES:Medium=5
Mirage Arcana.MOD					CLASSES:Medium=5
Nightmare.MOD					CLASSES:Medium=5
Old Salt's Curse.MOD				CLASSES:Medium=5
Phantasmal Web.MOD				CLASSES:Medium=5
Planar Adaptation.MOD				CLASSES:Medium=5
Plane Shift.MOD					CLASSES:Medium=5
Power Word Blind.MOD				CLASSES:Medium=5
Protection from Energy.MOD			CLASSES:Medium=5
Repulsion.MOD					CLASSES:Medium=5
Resilient Reservoir.MOD				CLASSES:Medium=5
Resist Energy (Communal).MOD			CLASSES:Medium=5
Seeming.MOD						CLASSES:Medium=5
Sequester.MOD					CLASSES:Medium=5
Serenity.MOD					CLASSES:Medium=5
Shadow Walk.MOD					CLASSES:Medium=5
Song of Discord.MOD				CLASSES:Medium=5
Spawn Ward.MOD					CLASSES:Medium=5
Suggestion (Mass).MOD				CLASSES:Medium=5
True Seeing.MOD					CLASSES:Medium=5
Undeath to Death.MOD				CLASSES:Medium=5
Unwilling Shield.MOD				CLASSES:Medium=5
Utter Contempt.MOD				CLASSES:Medium=5
Vengeful Outrage.MOD				CLASSES:Medium=5
Waves of Fatigue.MOD				CLASSES:Medium=5
Wind Blades.MOD					CLASSES:Medium=5

Antimagic Field.MOD				CLASSES:Medium=6
Arcane Sight (Greater).MOD			CLASSES:Medium=6
Blessing of Luck and Resolve (Mass).MOD	CLASSES:Medium=6
Bow Spirit.MOD					CLASSES:Medium=6
Charm Monster (Mass).MOD			CLASSES:Medium=6
Circle of Clarity.MOD				CLASSES:Medium=6
Cloak of Dreams.MOD				CLASSES:Medium=6
Create Undead.MOD					CLASSES:Medium=6
Demand.MOD						CLASSES:Medium=6
Dimensional Lock.MOD				CLASSES:Medium=6
Dominate Monster.MOD				CLASSES:Medium=6
Etherealness.MOD					CLASSES:Medium=6
Eyebite.MOD						CLASSES:Medium=6
Fester (Mass).MOD					CLASSES:Medium=6
Fly (Mass).MOD					CLASSES:Medium=6
Fool's Forbiddance.MOD				CLASSES:Medium=6
Globe of Invulnerability.MOD			CLASSES:Medium=6
Heroism (Greater).MOD				CLASSES:Medium=6
Hold Person (Mass).MOD				CLASSES:Medium=6
Insanity.MOD					CLASSES:Medium=6
Mage's Sword.MOD					CLASSES:Medium=6
Maze.MOD						CLASSES:Medium=6
Mind Blank.MOD					CLASSES:Medium=6
Nine Lives.MOD					CLASSES:Medium=6
Overwhelming Presence.MOD			CLASSES:Medium=6
Path of the Winds.MOD				CLASSES:Medium=6
Phantasmal Revenge.MOD				CLASSES:Medium=6
Planar Adaptation.MOD				CLASSES:Medium=6
Power Word Stun.MOD				CLASSES:Medium=6
Project Image.MOD					CLASSES:Medium=6
Protection from Energy (Communal).MOD	CLASSES:Medium=6
Reverse Gravity.MOD				CLASSES:Medium=6
Scrying (Greater).MOD				CLASSES:Medium=6
Spell Turning.MOD					CLASSES:Medium=6
Temporary Resurrection.MOD			CLASSES:Medium=6
Veil.MOD						CLASSES:Medium=6
Waves of Ecstasy.MOD				CLASSES:Medium=6
